Sender: LSF System <lsfadmin@gauss01>
Subject: Job 255427: <DROSGD> in cluster <cjdx.cluster> Done

Job <DROSGD> was submitted from host <alpha02> by user <xiechenghan> in cluster <cjdx.cluster> at Thu May 18 19:14:45 2023
Job was executed on host(s) <gauss01>, in queue <gauss>, as user <xiechenghan> in cluster <cjdx.cluster> at Thu May 18 19:14:46 2023
</nfsshare/home/xiechenghan> was used as the home directory.
</nfsshare/home/xiechenghan/DRO_trustregion> was used as the working directory.
Started at Thu May 18 19:14:46 2023
Terminated at Fri May 19 02:09:14 2023
Results reported at Fri May 19 02:09:14 2023

Your job looked like:

------------------------------------------------------------
# LSBATCH: User input
#/bin/bash
#BSUB -J DROSGD
#BSUB -e /nfsshare/home/xiechenghan/DRO_trustregion/log/NAME_%J.err
#BSUB -o /nfsshare/home/xiechenghan/DRO_trustregion/log/NAME_%J.out
#BSUB -n 1
#BSUB -q gauss
#BSUB -gpu "num=1:mode=exclusive_process"
python my_train.py --optim sgd
------------------------------------------------------------

Successfully completed.

Resource usage summary:

    CPU time :                                   431194.69 sec.
    Max Memory :                                 2323 MB
    Average Memory :                             2246.59 MB
    Total Requested Memory :                     -
    Delta Memory :                               -
    Max Swap :                                   -
    Max Processes :                              4
    Max Threads :                                154
    Run time :                                   24868 sec.
    Turnaround time :                            24869 sec.

The output (if any) follows:

{
  "eta": 0.08,
  "beta1": 50,
  "beta2": 30,
  "zeta1": 0.25,
  "zeta2": 0.75
}
{
  "qp_rate": 0.3,
  "qp_freq": 1,
  "decay_mode": 1,
  "decay_window": 8000,
  "decay_step": 500.0,
  "decay_radius_step": 0.2,
  "decay_sin_rel_max": 100000000.0,
  "decay_sin_min_scope": 0,
  "decay_sin_max_scope": 37600
}
Using [cuda] for the work
train from scratch!
-----------------------epoch 1-----------------------
-----------current learning rate: 0.001000-----------
training || loss:0.0030406 MAE:16.93282 [32/165515]
training || loss:0.0007974 MAE:8.50816 [112032/165515]
training || loss:0.0006904 MAE:7.13937 [115232/165515]
training || loss:0.0008378 MAE:9.20527 [118432/165515]
training || loss:0.0006449 MAE:9.69752 [121632/165515]
training || loss:0.0010458 MAE:10.23913 [124832/165515]
training || loss:0.0007238 MAE:9.56396 [128032/165515]
training || loss:0.0008167 MAE:9.84007 [131232/165515]
training || loss:0.0005050 MAE:6.71690 [134432/165515]
training || loss:0.0009825 MAE:9.08030 [137632/165515]
training || loss:0.0006384 MAE:7.07754 [140832/165515]
training || loss:0.0006760 MAE:9.94967 [144032/165515]
training || loss:0.0005837 MAE:7.43090 [147232/165515]
training || loss:0.0006659 MAE:8.20210 [150432/165515]
training || loss:0.0007591 MAE:8.59186 [153632/165515]
training || loss:0.0005187 MAE:7.44290 [156832/165515]
training || loss:0.0005736 MAE:7.55203 [160032/165515]
training || loss:0.0004223 MAE:6.26322 [163232/165515]
validate|| MAE:2.28242
-----------------------epoch 2-----------------------
-----------current learning rate: 0.001000-----------
training || loss:0.0005493 MAE:8.62691 [32/165515]
training || loss:0.0005330 MAE:7.84281 [3232/165515]
training || loss:0.0005195 MAE:7.78738 [6432/165515]
training || loss:0.0007500 MAE:9.63768 [9632/165515]
training || loss:0.0004356 MAE:6.86963 [12832/165515]
training || loss:0.0006483 MAE:8.77860 [16032/165515]
training || loss:0.0003904 MAE:6.86131 [19232/165515]
training || loss:0.0005454 MAE:9.12451 [22432/165515]
training || loss:0.0006379 MAE:9.45955 [25632/165515]
training || loss:0.0006636 MAE:9.50129 [28832/165515]
training || loss:0.0005574 MAE:7.52187 [32032/165515]
training || loss:0.0004787 MAE:7.57470 [35232/165515]
training || loss:0.0005298 MAE:6.80788 [38432/165515]
training || loss:0.0005882 MAE:8.55749 [41632/165515]
training || loss:0.0004197 MAE:7.75316 [44832/165515]
training || loss:0.0006706 MAE:8.89957 [48032/165515]
training || loss:0.0005496 MAE:8.60801 [51232/165515]
training || loss:0.0004898 MAE:6.09488 [54432/165515]
training || loss:0.0006145 MAE:7.31039 [57632/165515]
training || loss:0.0007922 MAE:9.98587 [60832/165515]
training || loss:0.0005868 MAE:9.72689 [64032/165515]
training || loss:0.0005322 MAE:8.18546 [67232/165515]
training || loss:0.0005761 MAE:7.72203 [70432/165515]
training || loss:0.0004368 MAE:7.22095 [73632/165515]
training || loss:0.0004858 MAE:7.66593 [76832/165515]
training || loss:0.0004013 MAE:7.30677 [80032/165515]
training || loss:0.0004380 MAE:7.46033 [83232/165515]
training || loss:0.0004863 MAE:7.28431 [86432/165515]
training || loss:0.0006031 MAE:9.43729 [89632/165515]
training || loss:0.0004159 MAE:7.45508 [92832/165515]
training || loss:0.0004984 MAE:6.81140 [96032/165515]
training || loss:0.0004387 MAE:8.47685 [99232/165515]
training || loss:0.0006548 MAE:8.32023 [102432/165515]
training || loss:0.0005590 MAE:8.32930 [105632/165515]
training || loss:0.0004102 MAE:6.31440 [108832/165515]
training || loss:0.0004291 MAE:6.83057 [112032/165515]
training || loss:0.0005395 MAE:7.92115 [115232/165515]
training || loss:0.0005024 MAE:7.25784 [118432/165515]
training || loss:0.0005779 MAE:8.59110 [121632/165515]
training || loss:0.0004525 MAE:7.14831 [124832/165515]
training || loss:0.0004577 MAE:5.83631 [128032/165515]
training || loss:0.0005410 MAE:9.11790 [131232/165515]
training || loss:0.0005078 MAE:8.08182 [134432/165515]
training || loss:0.0005913 MAE:6.97502 [137632/165515]
training || loss:0.0003513 MAE:6.36360 [140832/165515]
training || loss:0.0003976 MAE:6.73612 [144032/165515]
training || loss:0.0004653 MAE:7.36006 [147232/165515]
training || loss:0.0004197 MAE:7.36595 [150432/165515]
training || loss:0.0003923 MAE:7.48652 [153632/165515]
training || loss:0.0004645 MAE:7.59792 [156832/165515]
training || loss:0.0004838 MAE:7.65951 [160032/165515]
training || loss:0.0003748 MAE:6.09022 [163232/165515]
validate|| MAE:2.28280
-----------------------epoch 3-----------------------
-----------current learning rate: 0.001000-----------
training || loss:0.0004594 MAE:7.34825 [32/165515]
training || loss:0.0004326 MAE:6.59784 [3232/165515]
training || loss:0.0003049 MAE:4.79632 [6432/165515]
training || loss:0.0002836 MAE:4.89138 [9632/165515]
training || loss:0.0002968 MAE:5.25542 [12832/165515]
training || loss:0.0003444 MAE:7.03188 [16032/165515]
training || loss:0.0004445 MAE:7.68746 [19232/165515]
training || loss:0.0005578 MAE:8.89011 [22432/165515]
training || loss:0.0004096 MAE:8.62039 [25632/165515]
training || loss:0.0004680 MAE:7.45083 [28832/165515]
training || loss:0.0004487 MAE:6.68895 [32032/165515]
training || loss:0.0004047 MAE:5.40409 [35232/165515]
training || loss:0.0003679 MAE:6.96817 [38432/165515]
training || loss:0.0003768 MAE:5.72479 [41632/165515]
training || loss:0.0003431 MAE:6.58222 [44832/165515]
training || loss:0.0005314 MAE:7.41435 [48032/165515]
training || loss:0.0004019 MAE:7.02364 [51232/165515]
training || loss:0.0003091 MAE:6.39290 [54432/165515]
training || loss:0.0003595 MAE:5.78631 [57632/165515]
training || loss:0.0003055 MAE:6.84293 [60832/165515]
training || loss:0.0003212 MAE:5.80611 [64032/165515]
training || loss:0.0005170 MAE:7.92659 [67232/165515]
training || loss:0.0003805 MAE:6.19872 [70432/165515]
training || loss:0.0004987 MAE:7.48447 [73632/165515]
training || loss:0.0006312 MAE:8.31571 [76832/165515]
training || loss:0.0004977 MAE:7.68750 [80032/165515]
training || loss:0.0003554 MAE:5.41852 [83232/165515]
training || loss:0.0003379 MAE:5.90447 [86432/165515]
training || loss:0.0003103 MAE:5.94115 [89632/165515]
training || loss:0.0003928 MAE:6.77300 [92832/165515]
training || loss:0.0004385 MAE:6.68160 [96032/165515]
training || loss:0.0005196 MAE:7.40383 [99232/165515]
training || loss:0.0003336 MAE:6.24100 [102432/165515]
training || loss:0.0002782 MAE:4.82819 [105632/165515]
training || loss:0.0003324 MAE:6.44838 [108832/165515]
training || loss:0.0004439 MAE:6.44282 [112032/165515]
training || loss:0.0003932 MAE:6.70020 [115232/165515]
training || loss:0.0004328 MAE:6.17472 [118432/165515]
training || loss:0.0002240 MAE:4.33901 [121632/165515]
training || loss:0.0003327 MAE:6.38451 [124832/165515]
training || loss:0.0002837 MAE:5.50105 [128032/165515]
training || loss:0.0007222 MAE:6.78073 [131232/165515]
training || loss:0.0004280 MAE:7.77679 [134432/165515]
training || loss:0.0003546 MAE:5.88024 [137632/165515]
training || loss:0.0002913 MAE:6.07101 [140832/165515]
training || loss:0.0004708 MAE:6.79483 [144032/165515]
training || loss:0.0004164 MAE:5.89923 [147232/165515]
training || loss:0.0003977 MAE:5.79661 [150432/165515]
training || loss:0.0003009 MAE:5.72058 [153632/165515]
training || loss:0.0005278 MAE:8.05334 [156832/165515]
training || loss:0.0003769 MAE:5.81902 [160032/165515]
training || loss:0.0006741 MAE:7.64612 [163232/165515]
validate|| MAE:2.28818
-----------------------epoch 4-----------------------
-----------current learning rate: 0.001000-----------
training || loss:0.0003287 MAE:6.42536 [32/165515]
training || loss:0.0003381 MAE:7.41011 [3232/165515]
training || loss:0.0003484 MAE:6.76501 [6432/165515]
training || loss:0.0003212 MAE:6.19151 [9632/165515]
training || loss:0.0002974 MAE:5.83307 [12832/165515]
training || loss:0.0003437 MAE:6.09385 [16032/165515]
training || loss:0.0003683 MAE:7.22527 [19232/165515]
training || loss:0.0003102 MAE:5.38349 [22432/165515]
training || loss:0.0002871 MAE:6.04380 [25632/165515]
training || loss:0.0002940 MAE:6.01929 [28832/165515]
training || loss:0.0004667 MAE:8.17162 [32032/165515]
training || loss:0.0002680 MAE:5.14163 [35232/165515]
training || loss:0.0003283 MAE:6.18217 [38432/165515]
training || loss:0.0003148 MAE:6.61275 [41632/165515]
training || loss:0.0002649 MAE:5.12969 [44832/165515]
training || loss:0.0005420 MAE:6.49888 [48032/165515]
training || loss:0.0003652 MAE:6.95730 [51232/165515]
training || loss:0.0004258 MAE:7.21830 [54432/165515]
training || loss:0.0003533 MAE:5.85753 [57632/165515]
training || loss:0.0003180 MAE:6.55827 [60832/165515]
training || loss:0.0003828 MAE:6.94386 [64032/165515]
training || loss:0.0002695 MAE:4.32514 [67232/165515]
training || loss:0.0003506 MAE:5.79898 [70432/165515]
training || loss:0.0004146 MAE:6.86382 [73632/165515]
training || loss:0.0002501 MAE:4.64081 [76832/165515]
training || loss:0.0002985 MAE:5.49003 [80032/165515]
training || loss:0.0003635 MAE:5.49548 [83232/165515]
training || loss:0.0002460 MAE:5.11182 [86432/165515]
training || loss:0.0002816 MAE:5.56001 [89632/165515]
training || loss:0.0002595 MAE:6.14168 [92832/165515]
training || loss:0.0003606 MAE:6.65239 [96032/165515]
training || loss:0.0003746 MAE:7.24321 [99232/165515]
training || loss:0.0003168 MAE:6.05265 [102432/165515]
training || loss:0.0003450 MAE:6.65291 [105632/165515]
training || loss:0.0003201 MAE:5.91431 [108832/165515]
training || loss:0.0003081 MAE:6.03713 [112032/165515]
training || loss:0.0002801 MAE:4.62382 [115232/165515]
training || loss:0.0002926 MAE:6.41711 [118432/165515]
training || loss:0.0002323 MAE:5.08984 [121632/165515]
training || loss:0.0002676 MAE:5.39515 [124832/165515]
training || loss:0.0003592 MAE:6.79927 [128032/165515]
training || loss:0.0003899 MAE:6.59591 [131232/165515]
training || loss:0.0004230 MAE:7.62594 [134432/165515]
training || loss:0.0002658 MAE:5.05006 [137632/165515]
training || loss:0.0002652 MAE:6.09075 [140832/165515]
training || loss:0.0002326 MAE:3.75229 [144032/165515]
training || loss:0.0002411 MAE:4.21781 [147232/165515]
training || loss:0.0003203 MAE:5.67216 [150432/165515]
training || loss:0.0002774 MAE:6.10539 [153632/165515]
training || loss:0.0002755 MAE:5.46568 [156832/165515]
training || loss:0.0002927 MAE:5.38116 [160032/165515]
training || loss:0.0002516 MAE:5.25282 [163232/165515]
validate|| MAE:2.29323
-----------------------epoch 5-----------------------
-----------current learning rate: 0.001000-----------
training || loss:0.0002332 MAE:4.47370 [32/165515]
training || loss:0.0004047 MAE:6.50524 [3232/165515]
training || loss:0.0002828 MAE:5.72425 [6432/165515]
training || loss:0.0001971 MAE:4.72082 [9632/165515]
training || loss:0.0003477 MAE:5.97011 [12832/165515]
training || loss:0.0003274 MAE:6.90818 [16032/165515]
training || loss:0.0002377 MAE:5.09451 [19232/165515]
training || loss:0.0003786 MAE:7.89483 [22432/165515]
training || loss:0.0004562 MAE:7.18152 [25632/165515]
training || loss:0.0002766 MAE:6.13618 [28832/165515]
training || loss:0.0002605 MAE:4.90111 [32032/165515]
training || loss:0.0002913 MAE:6.33975 [35232/165515]
training || loss:0.0002368 MAE:5.96085 [38432/165515]
training || loss:0.0003525 MAE:6.09566 [41632/165515]
training || loss:0.0003038 MAE:5.56130 [44832/165515]
training || loss:0.0003256 MAE:6.45496 [48032/165515]
training || loss:0.0003181 MAE:6.81398 [51232/165515]
training || loss:0.0001969 MAE:5.12530 [54432/165515]
training || loss:0.0003095 MAE:6.59931 [57632/165515]
training || loss:0.0003210 MAE:6.84682 [60832/165515]
training || loss:0.0003686 MAE:7.30922 [64032/165515]
training || loss:0.0002754 MAE:5.29162 [67232/165515]
training || loss:0.0002607 MAE:5.49968 [70432/165515]
training || loss:0.0002720 MAE:6.14048 [73632/165515]
training || loss:0.0003158 MAE:5.87000 [76832/165515]
training || loss:0.0002843 MAE:6.51484 [80032/165515]
training || loss:0.0002788 MAE:5.64636 [83232/165515]
training || loss:0.0003015 MAE:6.04357 [86432/165515]
training || loss:0.0004038 MAE:6.69533 [89632/165515]
training || loss:0.0002188 MAE:4.54994 [92832/165515]
training || loss:0.0003300 MAE:7.19847 [96032/165515]
training || loss:0.0002724 MAE:6.13157 [99232/165515]
training || loss:0.0002251 MAE:5.45968 [102432/165515]
training || loss:0.0003073 MAE:5.90223 [105632/165515]
training || loss:0.0003547 MAE:5.52091 [108832/165515]
training || loss:0.0003256 MAE:6.30408 [112032/165515]
training || loss:0.0002335 MAE:6.08345 [115232/165515]
training || loss:0.0002932 MAE:5.72693 [118432/165515]
training || loss:0.0002621 MAE:5.40445 [121632/165515]
training || loss:0.0001596 MAE:4.34559 [124832/165515]
training || loss:0.0002730 MAE:4.73799 [128032/165515]
training || loss:0.0001979 MAE:4.82337 [131232/165515]
training || loss:0.0002944 MAE:6.40036 [134432/165515]
training || loss:0.0002806 MAE:6.09790 [137632/165515]
training || loss:0.0003303 MAE:5.86915 [140832/165515]
training || loss:0.0002668 MAE:5.65450 [144032/165515]
training || loss:0.0003570 MAE:6.47663 [147232/165515]
training || loss:0.0003300 MAE:6.26307 [150432/165515]
training || loss:0.0003169 MAE:6.33847 [153632/165515]
training || loss:0.0005834 MAE:6.71655 [156832/165515]
training || loss:0.0002455 MAE:5.44841 [160032/165515]
training || loss:0.0002929 MAE:6.49587 [163232/165515]
validate|| MAE:2.29547
-----------------------epoch 6-----------------------
-----------current learning rate: 0.001000-----------
training || loss:0.0003411 MAE:6.97101 [32/165515]
training || loss:0.0003456 MAE:6.63393 [3232/165515]
training || loss:0.0002328 MAE:4.83293 [6432/165515]
training || loss:0.0002449 MAE:6.12828 [9632/165515]
training || loss:0.0002126 MAE:5.32405 [12832/165515]
training || loss:0.0002704 MAE:5.98623 [16032/165515]
training || loss:0.0002429 MAE:4.96066 [19232/165515]
training || loss:0.0003047 MAE:6.61695 [22432/165515]
training || loss:0.0004342 MAE:6.36857 [25632/165515]
training || loss:0.0003073 MAE:5.77612 [28832/165515]
training || loss:0.0002972 MAE:6.19892 [32032/165515]
training || loss:0.0002174 MAE:5.87881 [35232/165515]
training || loss:0.0003189 MAE:6.36642 [38432/165515]
training || loss:0.0003494 MAE:6.74750 [41632/165515]
training || loss:0.0001890 MAE:4.38822 [44832/165515]
training || loss:0.0003083 MAE:6.78104 [48032/165515]
training || loss:0.0002179 MAE:5.10819 [51232/165515]
training || loss:0.0006085 MAE:6.52431 [54432/165515]
training || loss:0.0003127 MAE:6.00545 [57632/165515]
training || loss:0.0001965 MAE:5.55041 [60832/165515]
training || loss:0.0002777 MAE:5.56965 [64032/165515]
training || loss:0.0002316 MAE:5.13058 [67232/165515]
training || loss:0.0002600 MAE:5.30348 [70432/165515]
training || loss:0.0002353 MAE:4.47007 [73632/165515]
training || loss:0.0002425 MAE:5.34095 [76832/165515]
training || loss:0.0001946 MAE:4.64902 [80032/165515]
training || loss:0.0003217 MAE:5.69353 [83232/165515]
training || loss:0.0002051 MAE:4.76834 [86432/165515]
training || loss:0.0002755 MAE:5.74140 [89632/165515]
training || loss:0.0002360 MAE:4.80948 [92832/165515]
training || loss:0.0002367 MAE:5.22699 [96032/165515]
training || loss:0.0002329 MAE:4.27054 [99232/165515]
training || loss:0.0003076 MAE:6.20243 [102432/165515]
training || loss:0.0002605 MAE:5.97024 [105632/165515]
training || loss:0.0002705 MAE:5.09817 [108832/165515]
training || loss:0.0001892 MAE:4.80637 [112032/165515]
training || loss:0.0002640 MAE:5.82419 [115232/165515]
training || loss:0.0002817 MAE:5.88807 [118432/165515]
training || loss:0.0001888 MAE:4.61402 [121632/165515]
training || loss:0.0003077 MAE:5.62425 [124832/165515]
training || loss:0.0002926 MAE:5.85767 [128032/165515]
training || loss:0.0003213 MAE:6.18383 [131232/165515]
training || loss:0.0003234 MAE:6.65472 [134432/165515]
training || loss:0.0002193 MAE:5.03036 [137632/165515]
training || loss:0.0003361 MAE:5.75315 [140832/165515]
training || loss:0.0002015 MAE:4.58234 [144032/165515]
training || loss:0.0002457 MAE:6.30319 [147232/165515]
training || loss:0.0001881 MAE:4.12110 [150432/165515]
training || loss:0.0002454 MAE:5.42623 [153632/165515]
training || loss:0.0003201 MAE:6.26212 [156832/165515]
training || loss:0.0001504 MAE:4.05179 [160032/165515]
training || loss:0.0001943 MAE:5.00423 [163232/165515]
validate|| MAE:2.29805
-----------------------epoch 7-----------------------
-----------current learning rate: 0.001000-----------
training || loss:0.0001838 MAE:4.31262 [32/165515]
training || loss:0.0003761 MAE:7.15577 [3232/165515]
training || loss:0.0002842 MAE:5.68378 [6432/165515]
training || loss:0.0002352 MAE:5.29559 [9632/165515]
training || loss:0.0003891 MAE:7.22890 [12832/165515]
training || loss:0.0002639 MAE:6.04112 [16032/165515]
training || loss:0.0002476 MAE:4.86826 [19232/165515]
training || loss:0.0001805 MAE:4.58107 [22432/165515]
training || loss:0.0002979 MAE:6.13229 [25632/165515]
training || loss:0.0002081 MAE:5.07297 [28832/165515]
training || loss:0.0003146 MAE:6.37928 [32032/165515]
training || loss:0.0001860 MAE:5.25142 [35232/165515]
training || loss:0.0003085 MAE:5.88601 [38432/165515]
training || loss:0.0003152 MAE:6.12694 [41632/165515]
training || loss:0.0005103 MAE:6.84734 [44832/165515]
training || loss:0.0004215 MAE:5.74464 [48032/165515]
training || loss:0.0001662 MAE:4.05163 [51232/165515]
training || loss:0.0002036 MAE:4.95962 [54432/165515]
training || loss:0.0002584 MAE:5.74832 [57632/165515]
training || loss:0.0003201 MAE:5.81100 [60832/165515]
training || loss:0.0002641 MAE:5.10827 [64032/165515]
training || loss:0.0002270 MAE:5.36908 [67232/165515]
training || loss:0.0002592 MAE:5.69402 [70432/165515]
training || loss:0.0002692 MAE:5.05828 [73632/165515]
training || loss:0.0002210 MAE:5.07638 [76832/165515]
training || loss:0.0001743 MAE:5.06784 [80032/165515]
training || loss:0.0002242 MAE:5.63653 [83232/165515]
training || loss:0.0001978 MAE:4.91164 [86432/165515]
training || loss:0.0002022 MAE:4.40923 [89632/165515]
training || loss:0.0002891 MAE:5.22561 [92832/165515]
training || loss:0.0002222 MAE:4.98214 [96032/165515]
training || loss:0.0001553 MAE:4.43367 [99232/165515]
training || loss:0.0002341 MAE:5.07355 [102432/165515]
training || loss:0.0002999 MAE:5.79954 [105632/165515]
training || loss:0.0002284 MAE:4.79086 [108832/165515]
training || loss:0.0005109 MAE:6.09402 [112032/165515]
training || loss:0.0002401 MAE:5.66996 [115232/165515]
training || loss:0.0002977 MAE:6.25996 [118432/165515]
training || loss:0.0002762 MAE:6.26703 [121632/165515]
training || loss:0.0002691 MAE:6.34967 [124832/165515]
training || loss:0.0002253 MAE:4.98894 [128032/165515]
training || loss:0.0002744 MAE:6.47858 [131232/165515]
training || loss:0.0002053 MAE:4.49872 [134432/165515]
training || loss:0.0002651 MAE:5.63706 [137632/165515]
training || loss:0.0002529 MAE:5.55132 [140832/165515]
training || loss:0.0001823 MAE:4.20850 [144032/165515]
training || loss:0.0002679 MAE:5.85743 [147232/165515]
training || loss:0.0002371 MAE:5.20820 [150432/165515]
training || loss:0.0003449 MAE:6.30683 [153632/165515]
training || loss:0.0002547 MAE:5.72629 [156832/165515]
training || loss:0.0002405 MAE:4.79543 [160032/165515]
training || loss:0.0002076 MAE:4.57701 [163232/165515]
validate|| MAE:2.29875
-----------------------epoch 8-----------------------
-----------current learning rate: 0.001000-----------
training || loss:0.0001849 MAE:4.51030 [32/165515]
training || loss:0.0002279 MAE:5.84987 [3232/165515]
training || loss:0.0001866 MAE:4.81010 [6432/165515]
training || loss:0.0002756 MAE:6.16298 [9632/165515]
training || loss:0.0002434 MAE:5.64336 [12832/165515]
training || loss:0.0003243 MAE:5.60859 [16032/165515]
training || loss:0.0002285 MAE:5.47969 [19232/165515]
training || loss:0.0003078 MAE:5.28542 [22432/165515]
training || loss:0.0002191 MAE:5.47158 [25632/165515]
training || loss:0.0002219 MAE:5.27160 [28832/165515]
training || loss:0.0003042 MAE:5.99550 [32032/165515]
training || loss:0.0002826 MAE:6.48918 [35232/165515]
training || loss:0.0002436 MAE:5.62755 [38432/165515]
training || loss:0.0003013 MAE:6.89896 [41632/165515]
training || loss:0.0003263 MAE:6.91401 [44832/165515]
training || loss:0.0002283 MAE:4.83024 [48032/165515]
training || loss:0.0002123 MAE:5.37194 [51232/165515]
training || loss:0.0002368 MAE:5.48736 [54432/165515]
training || loss:0.0003896 MAE:6.28565 [57632/165515]
training || loss:0.0002613 MAE:5.91722 [60832/165515]
training || loss:0.0002472 MAE:4.71901 [64032/165515]
training || loss:0.0001450 MAE:4.22315 [67232/165515]
training || loss:0.0002176 MAE:5.56868 [70432/165515]
training || loss:0.0001958 MAE:4.84226 [73632/165515]
training || loss:0.0003093 MAE:6.44677 [76832/165515]
training || loss:0.0001981 MAE:4.70057 [80032/165515]
training || loss:0.0002841 MAE:6.69585 [83232/165515]
training || loss:0.0002851 MAE:6.30977 [86432/165515]
training || loss:0.0002235 MAE:5.04420 [89632/165515]
training || loss:0.0001986 MAE:4.58350 [92832/165515]
training || loss:0.0002686 MAE:5.11958 [96032/165515]
training || loss:0.0001703 MAE:4.39610 [99232/165515]
training || loss:0.0002160 MAE:4.83160 [102432/165515]
training || loss:0.0003144 MAE:6.40823 [105632/165515]
training || loss:0.0002072 MAE:5.23378 [108832/165515]
training || loss:0.0002397 MAE:4.78843 [112032/165515]
training || loss:0.0002268 MAE:5.01241 [115232/165515]
training || loss:0.0002353 MAE:5.42010 [118432/165515]
training || loss:0.0002015 MAE:3.82226 [121632/165515]
training || loss:0.0002593 MAE:5.56481 [124832/165515]
training || loss:0.0002960 MAE:6.50058 [128032/165515]
training || loss:0.0003175 MAE:6.40021 [131232/165515]
training || loss:0.0005101 MAE:6.55978 [134432/165515]
training || loss:0.0001265 MAE:3.82056 [137632/165515]
training || loss:0.0002899 MAE:6.56408 [140832/165515]
training || loss:0.0002333 MAE:4.97978 [144032/165515]
training || loss:0.0001822 MAE:4.48419 [147232/165515]
training || loss:0.0001922 MAE:5.16363 [150432/165515]
training || loss:0.0002513 MAE:5.58080 [153632/165515]
training || loss:0.0001637 MAE:4.60310 [156832/165515]
training || loss:0.0002324 MAE:5.10926 [160032/165515]
training || loss:0.0001903 MAE:4.71788 [163232/165515]
validate|| MAE:2.30104
-----------------------epoch 9-----------------------
-----------current learning rate: 0.001000-----------
training || loss:0.0002035 MAE:4.13707 [32/165515]
training || loss:0.0002680 MAE:5.91537 [3232/165515]
training || loss:0.0002328 MAE:5.20219 [6432/165515]
